Tanggal,Parent Code, Net Profit (Rp) ,Child Code,Metode Pembayaran,Nama Patung,Child Product,Nama Artisan,Tour Guide,Jumlah, Selling Price per Unit (Rp) , Total Sales (Rp) , Cost Price per Unit (Rp) , Total Cost Price (Rp) ,Artisan Commission (%), Artisan Commission (Rp) ,Guide Commission (%), Guide Commission (Rp) 
9/14/2025,PRD-00014," Rp1,298,400 ",ITEM-00014,Cash,Horse Statue,Horse Statue Standing,I Made Sudarma,Bagus Rai Pratama,2," Rp1,600,000 "," Rp3,200,000 "," Rp834,000 "," Rp1,668,000 ",6.1," Rp195,200 ",1.2," Rp38,400 "
9/15/2025,PRD-00015," Rp1,813,800 ",ITEM-00015,Credit Card,Koi Fish Statue,Koi Hias Meja,I Ketut Ardana,Ketut Yasa Pramana,3," Rp1,600,000 "," Rp4,800,000 "," Rp829,000 "," Rp2,487,000 ",8.5," Rp408,000 ",1.9," Rp91,200 "
9/16/2025,PRD-00010," Rp625,400 ",ITEM-00016,Credit Card,Cat Statue,Kucing Tidur Kayu,Ni Luh Putu Ariani,Nyoman Budi Santosa,1," Rp1,600,000 "," Rp1,600,000 "," Rp829,000 "," Rp829,000 ",7.7," Rp123,200 ",1.4," Rp22,400 "
9/17/2025,PRD-00002," Rp1,491,000 ",ITEM-00017,Debit,Garuda Wisnu Statue,Garuda Wisnu Kayu Jati,I Wayan Suartana,Made Surya Dharma,3," Rp1,250,000 "," Rp3,750,000 "," Rp663,000 "," Rp1,989,000 ",5.6," Rp210,000 ",1.6," Rp60,000 "
9/18/2025,PRD-00016," Rp1,444,500 ",ITEM-00018,Cash,Elephant Statue,Gajah Berjalan,I Nyoman Sudiarta,Dewa Gede Saputra,3," Rp1,250,000 "," Rp3,750,000 "," Rp691,000 "," Rp2,073,000 ",5," Rp187,500 ",1.2," Rp45,000 "
9/19/2025,PRD-00017," Rp837,800 ",ITEM-00019,QRIS,Barong Statue,Topeng Barong Kecil,Ni Made Suryani,Nyoman Budi Santosa,1," Rp2,200,000 "," Rp2,200,000 "," Rp1,195,000 "," Rp1,195,000 ",6.2," Rp136,400 ",1.4," Rp30,800 "
9/20/2025,PRD-00005," Rp2,544,900 ",ITEM-00020,Credit Card,Buddha Statue,Buddha Ketawa Kayu Suwar,I Wayan Suartana,Kadek Arya Wibawa,3," Rp2,100,000 "," Rp6,300,000 "," Rp1,111,000 "," Rp3,333,000 ",5.6," Rp352,800 ",1.1," Rp69,300 "
9/21/2025,PRD-00015," Rp2,040,300 ",ITEM-00021,QRIS,Koi Fish Statue,Koi Tunggal Melompat,Ni Made Suryani,Komang Adi Putra,3," Rp1,900,000 "," Rp5,700,000 "," Rp1,066,000 "," Rp3,198,000 ",6.2," Rp353,400 ",1.9," Rp108,300 "
9/22/2025,PRD-00011," Rp2,220,000 ",ITEM-00022,Cash,Tiger Statue,Harimau Sumatra Ukir,I Wayan Suartana,Putu Gede Mahardika,3," Rp1,800,000 "," Rp5,400,000 "," Rp925,000 "," Rp2,775,000 ",5.6," Rp302,400 ",1.9," Rp102,600 "
9/23/2025,PRD-00012," Rp3,080,400 ",ITEM-00023,Cash,Angel Statue,Malaikat Penjaga,I Ketut Ardana,Komang Adi Putra,2," Rp4,200,000 "," Rp8,400,000 "," Rp2,223,000 "," Rp4,446,000 ",8.5," Rp714,000 ",1.9," Rp159,600 "
9/24/2025,PRD-00017," Rp4,507,800 ",ITEM-00024,Cash,Barong Statue,Topeng Barong Kecil,I Wayan Suartana,Dewa Gede Saputra,3," Rp3,800,000 "," Rp11,400,000 "," Rp2,039,000 "," Rp6,117,000 ",5.6," Rp638,400 ",1.2," Rp136,800 "
9/25/2025,PRD-00018," Rp2,427,300 ",ITEM-00025,Credit Card,Lion Statue,Singa Emas,I Gusti Ngurah Artawan,Made Surya Dharma,3," Rp2,100,000 "," Rp6,300,000 "," Rp1,146,000 "," Rp3,438,000 ",5.3," Rp333,900 ",1.6," Rp100,800 "
9/26/2025,PRD-00019," Rp1,585,600 ",ITEM-00026,Credit Card,Goddess Saraswati Statue,Saraswati dengan Angsa,I Nyoman Sudiarta,Kadek Arya Wibawa,2," Rp2,200,000 "," Rp4,400,000 "," Rp1,273,000 "," Rp2,546,000 ",5," Rp220,000 ",1.1," Rp48,400 "
9/27/2025,PRD-00020," Rp2,436,000 ",ITEM-00027,Cash,Eagle Statue,Kepala Elang Eksklusif,Ni Made Suryani,Bagus Rai Pratama,2," Rp3,000,000 "," Rp6,000,000 "," Rp1,560,000 "," Rp3,120,000 ",6.2," Rp372,000 ",1.2," Rp72,000 "
9/28/2025,PRD-00021," Rp1,043,000 ",ITEM-00028,Debit,Dwarapala Statue,Dwarapala Klasik (Sepasang),I Ketut Ardana,Made Surya Dharma,1," Rp3,000,000 "," Rp3,000,000 "," Rp1,654,000 "," Rp1,654,000 ",8.5," Rp255,000 ",1.6," Rp48,000 "
9/29/2025,PRD-00007," Rp730,700 ",ITEM-00029,QRIS,Modern Abstract Statue,Abstrak Minimalis Putih,Ni Luh Putu Ariani,Ayu Cintya Dewi,1," Rp2,100,000 "," Rp2,100,000 "," Rp1,174,000 "," Rp1,174,000 ",7.7," Rp161,700 ",1.6," Rp33,600 "
9/30/2025,PRD-00017," Rp2,446,800 ",ITEM-00030,Credit Card,Barong Statue,Barong Mini Souvenir,I Nyoman Sudiarta,Made Surya Dharma,3," Rp1,900,000 "," Rp5,700,000 "," Rp959,000 "," Rp2,877,000 ",5," Rp285,000 ",1.6," Rp91,200 "
10/1/2025,PRD-00008," Rp2,910,000 ",ITEM-00031,Cash,Moai Head Statue,Moai Batu Hitam,I Made Sudarma,Ketut Yasa Pramana,3," Rp2,700,000 "," Rp8,100,000 "," Rp1,514,000 "," Rp4,542,000 ",6.1," Rp494,100 ",1.9," Rp153,900 "
10/2/2025,PRD-00014," Rp764,100 ",ITEM-00032,Credit Card,Horse Statue,Kuda Jingkrak Gagah,Ni Made Suryani,Komang Adi Putra,1," Rp1,900,000 "," Rp1,900,000 "," Rp982,000 "," Rp982,000 ",6.2," Rp117,800 ",1.9," Rp36,100 "
10/3/2025,PRD-00021," Rp520,750 ",ITEM-00033,Credit Card,Dwarapala Statue,Dwarapala Ukir Batu,Kadek Agus Wijaya,Ketut Yasa Pramana,1," Rp1,250,000 "," Rp1,250,000 "," Rp633,000 "," Rp633,000 ",5.8," Rp72,500 ",1.9," Rp23,750 "
10/4/2025,PRD-00004," Rp2,553,600 ",ITEM-00034,Cash,Ganesha Statue,Dark Ganesha Statue,I Nyoman Sudiarta,Putu Gede Mahardika,2," Rp3,800,000 "," Rp7,600,000 "," Rp2,261,000 "," Rp4,522,000 ",5," Rp380,000 ",1.9," Rp144,400 "
10/5/2025,PRD-00011," Rp1,122,000 ",ITEM-00035,Cash,Tiger Statue,Harimau Sumatra Ukir,I Ketut Ardana,Komang Adi Putra,3," Rp1,250,000 "," Rp3,750,000 "," Rp746,000 "," Rp2,238,000 ",8.5," Rp318,750 ",1.9," Rp71,250 "
10/6/2025,PRD-00022," Rp1,302,000 ",ITEM-00036,Credit Card,Dolphin Statue,Lumba-Lumba Tunggal,I Made Sudarma,Kadek Arya Wibawa,3," Rp1,250,000 "," Rp3,750,000 "," Rp726,000 "," Rp2,178,000 ",6.1," Rp228,750 ",1.1," Rp41,250 "
10/7/2025,PRD-00011," Rp2,803,000 ",ITEM-00037,Cash,Tiger Statue,Kepala Harimau Dinding,I Nyoman Sudiarta,Komang Adi Putra,2," Rp3,500,000 "," Rp7,000,000 "," Rp1,857,000 "," Rp3,714,000 ",5," Rp350,000 ",1.9," Rp133,000 "
10/8/2025,PRD-00023," Rp5,219,400 ",ITEM-00038,Credit Card,Dog Statue,Anjing Lucu Berdiri,Ni Made Suryani,Nyoman Budi Santosa,3," Rp4,200,000 "," Rp12,600,000 "," Rp2,141,000 "," Rp6,423,000 ",6.2," Rp781,200 ",1.4," Rp176,400 "
10/9/2025,PRD-00017," Rp1,283,500 ",ITEM-00039,Credit Card,Barong Statue,Topeng Barong Kecil,I Gusti Ngurah Artawan,Dewa Gede Saputra,1," Rp3,500,000 "," Rp3,500,000 "," Rp1,989,000 "," Rp1,989,000 ",5.3," Rp185,500 ",1.2," Rp42,000 "
10/10/2025,PRD-00021," Rp729,200 ",ITEM-00040,Credit Card,Dwarapala Statue,Dwarapala Ukir Batu,Kadek Agus Wijaya,Nyoman Budi Santosa,1," Rp1,900,000 "," Rp1,900,000 "," Rp1,034,000 "," Rp1,034,000 ",5.8," Rp110,200 ",1.4," Rp26,600 "
10/11/2025,PRD-00023," Rp1,789,600 ",ITEM-00041,Cash,Dog Statue,Anjing Penjaga Mini,Ni Made Suryani,Komang Adi Putra,2," Rp2,200,000 "," Rp4,400,000 "," Rp1,127,000 "," Rp2,254,000 ",6.2," Rp272,800 ",1.9," Rp83,600 "
10/12/2025,PRD-00002," Rp1,446,000 ",ITEM-00042,Cash,Garuda Wisnu Statue,Garuda Wisnu Ukiran Detail,I Wayan Suartana,Nyoman Budi Santosa,2," Rp1,900,000 "," Rp3,800,000 "," Rp1,044,000 "," Rp2,088,000 ",5.6," Rp212,800 ",1.4," Rp53,200 "
10/13/2025,PRD-00005," Rp4,458,000 ",ITEM-00043,Cash,Buddha Statue,Kepala Buddha Putih,I Gusti Ngurah Artawan,Komang Adi Putra,3," Rp3,500,000 "," Rp10,500,000 "," Rp1,762,000 "," Rp5,286,000 ",5.3," Rp556,500 ",1.9," Rp199,500 "
10/14/2025,PRD-00018," Rp1,411,400 ",ITEM-00044,Cash,Lion Statue,Singa Hutan Gagah,I Made Sudarma,Bagus Rai Pratama,1," Rp4,200,000 "," Rp4,200,000 "," Rp2,482,000 "," Rp2,482,000 ",6.1," Rp256,200 ",1.2," Rp50,400 "
10/15/2025,PRD-00024," Rp769,900 ",ITEM-00045,Cash,Arjuna Statue,Arjuna di Kereta Perang,I Nyoman Sudiarta,Ketut Yasa Pramana,1," Rp1,900,000 "," Rp1,900,000 "," Rp999,000 "," Rp999,000 ",5," Rp95,000 ",1.9," Rp36,100 "
10/16/2025,PRD-00025," Rp1,953,200 ",ITEM-00046,Cash,Hanoman Statue,Hanoman Putih Bakti,Kadek Agus Wijaya,Nyoman Budi Santosa,2," Rp2,700,000 "," Rp5,400,000 "," Rp1,529,000 "," Rp3,058,000 ",5.8," Rp313,200 ",1.4," Rp75,600 "
10/17/2025,PRD-00024," Rp1,485,600 ",ITEM-00047,Credit Card,Arjuna Statue,Arjuna di Kereta Perang,Ni Made Suryani,Ayu Cintya Dewi,1," Rp3,800,000 "," Rp3,800,000 "," Rp2,018,000 "," Rp2,018,000 ",6.2," Rp235,600 ",1.6," Rp60,800 "
10/18/2025,PRD-00011," Rp1,546,000 ",ITEM-00048,Credit Card,Tiger Statue,Harimau Siap Menerkam,I Made Sudarma,Komang Adi Putra,1," Rp4,200,000 "," Rp4,200,000 "," Rp2,318,000 "," Rp2,318,000 ",6.1," Rp256,200 ",1.9," Rp79,800 "
10/19/2025,PRD-00022," Rp2,787,900 ",ITEM-00049,Cash,Dolphin Statue,Sepasang Lumba-Lumba Melompat,I Ketut Ardana,Made Surya Dharma,3," Rp2,700,000 "," Rp8,100,000 "," Rp1,498,000 "," Rp4,494,000 ",8.5," Rp688,500 ",1.6," Rp129,600 "
10/20/2025,PRD-00021," Rp1,598,200 ",ITEM-00050,Cash,Dwarapala Statue,Dwarapala Klasik (Sepasang),I Nyoman Sudiarta,Kadek Arya Wibawa,2," Rp1,900,000 "," Rp3,800,000 "," Rp985,000 "," Rp1,970,000 ",5," Rp190,000 ",1.1," Rp41,800 "
10/21/2025,PRD-00019," Rp936,000 ",ITEM-00051,Debit,Goddess Saraswati Statue,Saraswati Duduk di Teratai,Ni Luh Putu Ariani,Nyoman Budi Santosa,1," Rp3,000,000 "," Rp3,000,000 "," Rp1,791,000 "," Rp1,791,000 ",7.7," Rp231,000 ",1.4," Rp42,000 "
10/22/2025,PRD-00020," Rp1,513,600 ",ITEM-00052,Cash,Eagle Statue,Kepala Elang Eksklusif,I Nyoman Sudiarta,Dewa Gede Saputra,2," Rp2,100,000 "," Rp4,200,000 "," Rp1,213,000 "," Rp2,426,000 ",5," Rp210,000 ",1.2," Rp50,400 "
10/23/2025,PRD-00025," Rp823,300 ",ITEM-00053,Cash,Hanoman Statue,Hanoman Melompat,I Ketut Ardana,Ayu Cintya Dewi,1," Rp2,700,000 "," Rp2,700,000 "," Rp1,604,000 "," Rp1,604,000 ",8.5," Rp229,500 ",1.6," Rp43,200 "
10/24/2025,PRD-00014," Rp1,324,400 ",ITEM-00054,Cash,Horse Statue,Kuda Berlari Kencang,I Nyoman Sudiarta,Dewa Gede Saputra,2," Rp1,900,000 "," Rp3,800,000 "," Rp1,120,000 "," Rp2,240,000 ",5," Rp190,000 ",1.2," Rp45,600 "
10/25/2025,PRD-00012," Rp1,445,800 ",ITEM-00055,Cash,Angel Statue,Malaikat Kecil Berdoa,Ni Luh Putu Ariani,Putu Gede Mahardika,1," Rp4,200,000 "," Rp4,200,000 "," Rp2,351,000 "," Rp2,351,000 ",7.7," Rp323,400 ",1.9," Rp79,800 "
10/26/2025,PRD-00017," Rp390,000 ",ITEM-00056,Credit Card,Barong Statue,Barong Ket Ukiran Mewah,I Ketut Ardana,Kadek Arya Wibawa,1," Rp1,250,000 "," Rp1,250,000 "," Rp740,000 "," Rp740,000 ",8.5," Rp106,250 ",1.1," Rp13,750 "
10/27/2025,PRD-00010," Rp875,600 ",ITEM-00057,Cash,Cat Statue,Kucing Tidur Kayu,Kadek Agus Wijaya,Ayu Cintya Dewi,1," Rp2,100,000 "," Rp2,100,000 "," Rp1,069,000 "," Rp1,069,000 ",5.8," Rp121,800 ",1.6," Rp33,600 "
10/28/2025,PRD-00003," Rp1,221,200 ",ITEM-00058,Credit Card,Dragon Statue,Naga Emas Besar,I Ketut Ardana,Nyoman Budi Santosa,2," Rp1,600,000 "," Rp3,200,000 "," Rp831,000 "," Rp1,662,000 ",8.5," Rp272,000 ",1.4," Rp44,800 "
10/29/2025,PRD-00022," Rp382,650 ",ITEM-00059,Credit Card,Dolphin Statue,Lumba-Lumba Tunggal,Ni Luh Putu Ariani,Made Surya Dharma,1," Rp950,000 "," Rp950,000 "," Rp479,000 "," Rp479,000 ",7.7," Rp73,150 ",1.6," Rp15,200 "
10/30/2025,PRD-00007," Rp2,575,800 ",ITEM-00060,Cash,Modern Abstract Statue,Abstrak Minimalis Putih,Kadek Agus Wijaya,Putu Gede Mahardika,3," Rp2,200,000 "," Rp6,600,000 "," Rp1,172,000 "," Rp3,516,000 ",5.8," Rp382,800 ",1.9," Rp125,400 "
10/31/2025,PRD-00022," Rp842,400 ",ITEM-00061,Cash,Dolphin Statue,Lumba-Lumba Mini,Ni Made Suryani,Ayu Cintya Dewi,1," Rp2,200,000 "," Rp2,200,000 "," Rp1,186,000 "," Rp1,186,000 ",6.2," Rp136,400 ",1.6," Rp35,200 "
11/1/2025,PRD-00013," Rp1,671,000 ",ITEM-00062,Debit,Garuda Bird Statue,Garuda Terbang Tinggi,I Wayan Suartana,Putu Gede Mahardika,2," Rp2,100,000 "," Rp4,200,000 "," Rp1,107,000 "," Rp2,214,000 ",5.6," Rp235,200 ",1.9," Rp79,800 "
11/2/2025,PRD-00023," Rp3,087,000 ",ITEM-00063,Cash,Dog Statue,Anjing Penjaga Mini,Kadek Agus Wijaya,Ayu Cintya Dewi,3," Rp3,000,000 "," Rp9,000,000 "," Rp1,749,000 "," Rp5,247,000 ",5.8," Rp522,000 ",1.6," Rp144,000 "
11/3/2025,PRD-00015," Rp973,200 ",ITEM-00064,Credit Card,Koi Fish Statue,Koi Tunggal Melompat,I Ketut Ardana,Ketut Yasa Pramana,1," Rp2,700,000 "," Rp2,700,000 "," Rp1,446,000 "," Rp1,446,000 ",8.5," Rp229,500 ",1.9," Rp51,300 "
11/4/2025,PRD-00022," Rp3,068,700 ",ITEM-00065,Cash,Dolphin Statue,Lumba-Lumba Mini,Ni Luh Putu Ariani,Ayu Cintya Dewi,3," Rp2,700,000 "," Rp8,100,000 "," Rp1,426,000 "," Rp4,278,000 ",7.7," Rp623,700 ",1.6," Rp129,600 "
11/5/2025,PRD-00016," Rp1,086,600 ",ITEM-00066,Credit Card,Elephant Statue,Gajah Keberuntungan Mini,I Gusti Ngurah Artawan,Kadek Arya Wibawa,3," Rp950,000 "," Rp2,850,000 "," Rp527,000 "," Rp1,581,000 ",5.3," Rp151,050 ",1.1,31350
11/6/2025,PRD-00003," Rp2,307,300 ",ITEM-00067,Cash,Dragon Statue,Naga Hijau Kecil,Ni Made Suryani,Ketut Yasa Pramana,3," Rp1,900,000 "," Rp5,700,000 "," Rp977,000 "," Rp2,931,000 ",6.2," Rp353,400 ",1.9," Rp108,300 "
11/7/2025,PRD-00017," Rp991,800 ",ITEM-00068,Debit,Barong Statue,Barong Mini Souvenir,Kadek Agus Wijaya,Nyoman Budi Santosa,3," Rp950,000 "," Rp2,850,000 "," Rp551,000 "," Rp1,653,000 ",5.8," Rp165,300 ",1.4,39900
11/8/2025,PRD-00012," Rp2,673,600 ",ITEM-00069,Credit Card,Angel Statue,Malaikat Penjaga,I Wayan Suartana,Bagus Rai Pratama,3," Rp2,100,000 "," Rp6,300,000 "," Rp1,066,000 "," Rp3,198,000 ",5.6," Rp352,800 ",1.2," Rp75,600 "
11/9/2025,PRD-00015," Rp1,561,200 ",ITEM-00070,Cash,Koi Fish Statue,Koi Hias Meja,Ni Made Suryani,Nyoman Budi Santosa,3," Rp1,600,000 "," Rp4,800,000 "," Rp958,000 "," Rp2,874,000 ",6.2," Rp297,600 ",1.4," Rp67,200 "
11/10/2025,PRD-00007," Rp1,242,000 ",ITEM-00071,Credit Card,Modern Abstract Statue,Abstrak Ibu dan Anak,I Wayan Suartana,Dewa Gede Saputra,1," Rp3,500,000 "," Rp3,500,000 "," Rp2,020,000 "," Rp2,020,000 ",5.6," Rp196,000 ",1.2," Rp42,000 "
11/11/2025,PRD-00012," Rp1,680,000 ",ITEM-00072,Cash,Angel Statue,Malaikat Bersayap Lebar,I Made Sudarma,Komang Adi Putra,2," Rp2,100,000 "," Rp4,200,000 "," Rp1,092,000 "," Rp2,184,000 ",6.1," Rp256,200 ",1.9," Rp79,800 "
11/12/2025,PRD-00016," Rp1,783,000 ",ITEM-00073,Credit Card,Elephant Statue,Gajah Keberuntungan Mini,I Wayan Suartana,Ketut Yasa Pramana,2," Rp2,100,000 "," Rp4,200,000 "," Rp1,051,000 "," Rp2,102,000 ",5.6," Rp235,200 ",1.9," Rp79,800 "
11/13/2025,PRD-00010," Rp1,837,800 ",ITEM-00074,Debit,Cat Statue,Kucing Hoki (Maneki),Ni Made Suryani,Ayu Cintya Dewi,3," Rp1,800,000 "," Rp5,400,000 "," Rp1,047,000 "," Rp3,141,000 ",6.2," Rp334,800 ",1.6," Rp86,400 "
11/14/2025,PRD-00014," Rp854,000 ",ITEM-00075,Credit Card,Horse Statue,Horse Statue Standing,Ni Luh Putu Ariani,Kadek Arya Wibawa,2," Rp1,250,000 "," Rp2,500,000 "," Rp713,000 "," Rp1,426,000 ",7.7," Rp192,500 ",1.1," Rp27,500 "
11/15/2025,PRD-00018," Rp2,756,400 ",ITEM-00076,Cash,Lion Statue,Singa Hutan Gagah,I Ketut Ardana,Nyoman Budi Santosa,2," Rp4,200,000 "," Rp8,400,000 "," Rp2,406,000 "," Rp4,812,000 ",8.5," Rp714,000 ",1.4," Rp117,600 "
11/16/2025,PRD-00021," Rp645,800 ",ITEM-00077,QRIS,Dwarapala Statue,Dwarapala Klasik (Sepasang),I Gusti Ngurah Artawan,Kadek Arya Wibawa,1," Rp1,800,000 "," Rp1,800,000 "," Rp1,039,000 "," Rp1,039,000 ",5.3," Rp95,400 ",1.1," Rp19,800 "
11/17/2025,PRD-00009," Rp3,136,000 ",ITEM-00078,Credit Card,Turtle Statue,Penyu Cangkang Mutiara,I Made Sudarma,Komang Adi Putra,2," Rp3,800,000 "," Rp7,600,000 "," Rp1,928,000 "," Rp3,856,000 ",6.1," Rp463,600 ",1.9," Rp144,400 "
11/18/2025,PRD-00011," Rp485,000 ",ITEM-00079,Cash,Tiger Statue,Harimau Siap Menerkam,Ni Made Suryani,Nyoman Budi Santosa,1," Rp1,250,000 "," Rp1,250,000 "," Rp670,000 "," Rp670,000 ",6.2," Rp77,500 ",1.4," Rp17,500 "
11/19/2025,PRD-00002," Rp4,423,500 ",ITEM-00080,QRIS,Garuda Wisnu Statue,Garuda Wisnu Kayu Jati,I Wayan Suartana,Kadek Arya Wibawa,3," Rp3,500,000 "," Rp10,500,000 "," Rp1,791,000 "," Rp5,373,000 ",5.6," Rp588,000 ",1.1," Rp115,500 "
11/20/2025,PRD-00007," Rp2,357,000 ",ITEM-00081,Cash,Modern Abstract Statue,Abstrak Minimalis Putih,Kadek Agus Wijaya,Komang Adi Putra,2," Rp3,500,000 "," Rp7,000,000 "," Rp2,052,000 "," Rp4,104,000 ",5.8," Rp406,000 ",1.9," Rp133,000 "
11/21/2025,PRD-00025," Rp2,427,000 ",ITEM-00082,Credit Card,Hanoman Statue,Hanoman Melompat,I Wayan Suartana,Nyoman Budi Santosa,3," Rp2,200,000 "," Rp6,600,000 "," Rp1,237,000 "," Rp3,711,000 ",5.6," Rp369,600 ",1.4," Rp92,400 "
11/22/2025,PRD-00009," Rp491,500 ",ITEM-00083,Credit Card,Turtle Statue,Penyu Cangkang Mutiara,Ni Made Suryani,Dewa Gede Saputra,1," Rp1,250,000 "," Rp1,250,000 "," Rp666,000 "," Rp666,000 ",6.2," Rp77,500 ",1.2," Rp15,000 "
11/23/2025,PRD-00016," Rp1,343,200 ",ITEM-00084,Credit Card,Elephant Statue,Gajah Berjalan,Kadek Agus Wijaya,Ayu Cintya Dewi,2," Rp1,600,000 "," Rp3,200,000 "," Rp810,000 "," Rp1,620,000 ",5.8," Rp185,600 ",1.6," Rp51,200 "
11/24/2025,PRD-00009," Rp1,708,600 ",ITEM-00085,Credit Card,Turtle Statue,Penyu Cangkang Mutiara,I Nyoman Sudiarta,Bagus Rai Pratama,1," Rp4,200,000 "," Rp4,200,000 "," Rp2,231,000 "," Rp2,231,000 ",5," Rp210,000 ",1.2," Rp50,400 "
11/25/2025,PRD-00020," Rp2,784,400 ",ITEM-00086,Cash,Eagle Statue,Elang Sayap Terbuka,I Ketut Ardana,Made Surya Dharma,2," Rp3,800,000 "," Rp7,600,000 "," Rp2,024,000 "," Rp4,048,000 ",8.5," Rp646,000 ",1.6," Rp121,600 "
11/26/2025,PRD-00002," Rp2,353,000 ",ITEM-00087,Cash,Garuda Wisnu Statue,Garuda Wisnu Kencana Mini,Ni Luh Putu Ariani,Nyoman Budi Santosa,2," Rp3,500,000 "," Rp7,000,000 "," Rp2,005,000 "," Rp4,010,000 ",7.7," Rp539,000 ",1.4," Rp98,000 "
11/27/2025,PRD-00010," Rp675,100 ",ITEM-00088,Cash,Cat Statue,Kucing Tidur Kayu,Ni Made Suryani,Komang Adi Putra,1," Rp1,900,000 "," Rp1,900,000 "," Rp1,071,000 "," Rp1,071,000 ",6.2," Rp117,800 ",1.9," Rp36,100 "
